ID,v,h
387,206,24.4292,8654.31734
388,206,21.883,7105.344063
389,206,18.923,7937.889102
390,206,24.0746,10773.07361
391,206,25.9295,12809.89777
392,206,21.4973,12959.22628
393,206,22.9268,10623.38249
394,206,22.0074,11103.96385
395,206,21.1271,10004.39506
396,206,12.7764,6023.165732
397,206,16.5558,7205.327815
398,206,18.7578,9173.660692
399,206,19.0772,10192.30684
400,206,19.8569,11214.91932
401,206,17.9757,9863.135376
402,206,27.9948,12610.17
403,206,26.1142,12172.73109
404,206,26.3425,11036.08203
405,206,21.7504,7924.250208
406,206,19.1252,6956.184825
407,206,18.8623,8920.349399
408,206,23.2187,12617.50103
409,206,22.5584,9660.499284
410,206,20.6391,10968.4985
411,206,15.0694,6966.850176
412,206,44.9668,12253.31849
413,206,172.4187,12034.44117
414,206,80.8466,10965.44281
415,206,116.712166,12084.55247
416,206,0.73186,13268.69184
417,206,2.34448,11857.24422
418,206,1.65143,12372.18515
419,206,1.843,12086.10605
420,206,1.43736,12381.75765
421,206,3.23328,11854.79843
422,206,1.6576,12383.27078
423,206,0.76138,12784.46818
424,209,90.6516,11941.57105
425,209,120.1472,11755.3847
426,209,123.4264,12770.37307
427,209,112.4042,11117.65905
428,209,92.9613,11956.39424
429,209,75.8956,12603.47497
430,209,100.5881,12006.49395
431,209,154.5955,12762.48999
432,209,159.3724,14094.64916
433,209,266.7859,11312.76415
434,209,233.7085,12112.55747
435,209,139.9706,12523.50942
436,209,116.4716,12151.35922
437,209,136.8834,13306.3091
438,209,194.795,10453.77976
439,209,149.7749,12863.49203
440,209,155.8041,12909.11953
441,209,135.0492,15087.86613
442,209,126.1897,17730.0328
443,209,381.8741,14467.76595
444,209,458.0652,12108.14959
445,209,618.3394,12023.83967
446,209,305.1309,12225.76158
447,209,266.6146,13186.72143
448,209,229.4385,12556.13321
449,209,392.9146,12745.95561
450,209,309.5401,12120.5564
451,209,273.2434,13044.1229
452,209,262.1336,13522.1628
453,209,381.2227,12054.34361
454,209,278.9038,11950.12598
455,209,327.656,10810.10974
456,209,320.9459,11803.9556
457,209,248.7354,11917.18855
458,209,381.3659,12228.05466
459,209,514.2707,11272.60906
460,209,325.71,14479.26109
461,209,22.5616,10335.64697
462,209,247.3193,7104.449262
463,209,162.4622,9424.702387
464,209,22.1021,8097.777244
465,209,29.7313,6762.393585
466,209,27.3685,7057.547093
467,209,25.9259,7221.412292
468,209,32.427,6719.053965
469,209,31.6917,9276.46356
470,209,19.6511,7802.560399
471,209,21.7347,7886.103171
472,209,31.2841,11922.26905
473,209,53.0968,7745.609434
474,209,33.8669,7497.992114
475,209,31.48,10743.81799
476,209,24.8267,9970.841691
477,209,55.6994,9574.596138
478,209,76.8093,8498.691482
479,209,25.0165,8760.505878
480,209,31.2259,7567.872532
481,209,28.9664,7068.771317
482,209,19.615,6899.79976
483,209,65.4798,11085.11631
484,209,71.0155,8896.416418
485,209,103.9708,6835.870572
486,209,107.0258,8275.658439
487,209,60.7395,9789.0718
488,209,42.8429,9553.1079
489,209,34.3534,9149.671775
490,209,36.4804,6026.898856
491,209,40.1207,7175.125014
492,209,60.3499,9253.129586
493,209,61.3476,10281.20142
494,209,55.4766,7166.68649
495,209,48.6988,7096.888176
496,209,52.3962,7390.808234
497,209,50.9236,7413.471855
498,209,56.012,6660.966823
499,209,56.7823,7175.912186
500,209,38.4054,7280.015106
501,209,54.757,7061.168518
502,209,73.4176,8814.160596
503,209,50.8555,8113.531681
504,209,64.6145,7517.936074
505,209,53.2922,7017.300597
506,209,50.3634,8013.797252
507,209,65.6284,7585.399295
508,209,57.8051,7364.969228
509,209,86.6705,12789.55067
510,209,53.8276,7843.95584
511,209,43.7479,11200.51848
512,209,65.7667,8060.759463
513,209,59.927,8013.798803
514,209,95.0272,20494.01139
515,209,47.3538,7844.452936
516,209,40.8751,6730.501532
517,209,61.2457,6580.53381
518,209,46.1004,6962.685811
519,209,59.5908,8695.381175
520,214,166.3531,15673.01785
521,214,183.9719,15387.98124
522,214,92.5491,15284.46808
523,214,162.9017,15754.6259
524,214,246.9299,15820.54782
525,214,238.4606,14070.8099
526,214,332.5147,14389.37252
527,214,266.2066,13378.24854
528,214,276.3772,13989.65065
529,214,184.1275,16383.19497
530,214,168.2819,17367.10564
531,214,385.6144,16259.05032
532,214,250.9396,17451.11849
533,214,87.0243,17815.23825
534,214,45.7145,22092.86147
535,214,69.9896,7499.914917
536,214,123.4981,28439.81897
537,214,94.0278,34291.99293
538,214,47.5409,12811.62907
539,214,99.7806,6733.92908
540,214,128.4291,14405.96612
541,214,108.4582,9554.533491
542,214,82.8799,10441.98092
543,214,73.8005,10420.91347
544,214,94.3319,10608.04353
545,214,78.5832,8808.726539
546,214,74.594,11493.53986
547,214,82.2377,10624.74971
548,214,70.634,9914.133613
549,214,45.3587,12996.93437
550,214,63.8203,13283.82486
551,214,68.0742,14285.21124
552,214,66.0448,12338.24356
553,214,83.7563,11972.95519
554,214,94.3614,12417.45792
555,214,136.8459,12775.29289
556,214,90.8383,16180.91145
557,214,105.6294,10631.41629
558,214,103.2166,11996.63673
559,214,152.0469,12256.82165
560,214,55.3404,12189.82399
561,214,67.2307,13700.51207
562,214,47.7523,12194.8352
563,214,39.3174,11222.75407
564,214,54.9098,10897.54684
565,214,71.6505,9642.713941
566,214,64.0918,11047.92613
567,214,78.8886,9781.060453
568,214,76.588,11775.43911
569,214,66.6129,15211.94391
570,214,75.0265,12619.35154
571,214,56.6892,11680.61981
572,214,74.8827,12358.84341
573,214,63.1152,13374.0669
574,214,59.8231,12476.20582
575,214,83.515,11839.81372
576,214,63.5837,11388.61008
577,214,68.5595,15892.11205
578,214,50.5228,18797.69684
579,214,75.5723,19589.36016
580,214,81.3563,17382.18211
581,214,69.4217,17320.77323
